price,developer,id,release_date_anio
4.99,Kotoshiro,761140,2018
4.99,Kotoshiro,761140,2018
4.99,Kotoshiro,761140,2018
4.99,Kotoshiro,761140,2018
4.99,Kotoshiro,761140,2018
0.0,Secret Level SRL,643980,2018
0.0,Secret Level SRL,643980,2018
0.0,Secret Level SRL,643980,2018
0.0,Secret Level SRL,643980,2018
0.0,Poolians.com,670290,2017
0.0,Poolians.com,670290,2017
0.0,Poolians.com,670290,2017
0.0,Poolians.com,670290,2017
0.0,Poolians.com,670290,2017
0.99,彼岸领域,767400,2017
0.99,彼岸领域,767400,2017
0.99,彼岸领域,767400,2017
3.99,Trickjump Games Ltd,772540,2018
3.99,Trickjump Games Ltd,772540,2018
3.99,Trickjump Games Ltd,772540,2018
18.99,Poppermost Productions,774277,2018
18.99,Poppermost Productions,774277,2018
18.99,Poppermost Productions,774277,2018
18.99,Poppermost Productions,774277,2018
29.99,Poppermost Productions,774278,2018
29.99,Poppermost Productions,774278,2018
29.99,Poppermost Productions,774278,2018
29.99,Poppermost Productions,774278,2018
10.99,Stegalosaurus Game Development,770380,2018
10.99,Stegalosaurus Game Development,770380,2018
10.99,Stegalosaurus Game Development,770380,2018
10.99,Stegalosaurus Game Development,770380,2018
10.99,Stegalosaurus Game Development,770380,2018
3.99,Copperpick Studio,768880,2018
3.99,Copperpick Studio,768880,2018
2.99,Ghulam Jewel,765320,2018
2.99,Ghulam Jewel,765320,2018
2.99,Ghulam Jewel,765320,2018
1.59,Apillo,773650,2018
1.59,Apillo,773650,2018
1.59,Apillo,773650,2018
1.59,Apillo,773650,2018
1.59,Apillo,773650,2018
14.99,Poppermost Productions,774271,2018
14.99,Poppermost Productions,774271,2018
14.99,Poppermost Productions,774271,2018
14.99,Poppermost Productions,774271,2018
1.99,Apillo,773690,2018
1.99,Apillo,773690,2018
1.99,Apillo,773690,2018
1.99,Apillo,773690,2018
1.99,Apillo,773690,2018
59.99,Poppermost Productions,774279,2018
59.99,Poppermost Productions,774279,2018
59.99,Poppermost Productions,774279,2018
59.99,Poppermost Productions,774279,2018
0.99,Tero Lunkka,768060,2018
0.99,Tero Lunkka,768060,2018
0.99,Tero Lunkka,768060,2018
2.99,FrozenPepper,775880,2017
2.99,FrozenPepper,775880,2017
2.99,FrozenPepper,775880,2017
2.99,FrozenPepper,775881,2017
2.99,FrozenPepper,775881,2017
2.99,FrozenPepper,775881,2017
4.99,Casey Labrack,653960,2018
4.99,Casey Labrack,653960,2018
9.99,Stainless Games Ltd,282010,1997
9.99,Stainless Games Ltd,282010,1997
9.99,Stainless Games Ltd,282010,1997
9.99,Valve,70,1998
1.99,dev4play,752360,2016
1.99,dev4play,752360,2016
1.99,dev4play,752360,2016
0.99,ETGgames,766850,2018
0.99,ETGgames,766850,2018
0.99,ETGgames,766850,2018
0.99,"lalalaZero,Urbanoff",716110,2018
0.99,"lalalaZero,Urbanoff",716110,2018
0.99,"lalalaZero,Urbanoff",716110,2018
0.99,"lalalaZero,Urbanoff",716110,2018
6.99,Strategy First,1640,2006
6.99,Strategy First,1630,2006
9.99,Outerlight Ltd.,2400,2006
9.99,Outerlight Ltd.,2400,2006
9.99,Outerlight Ltd.,2400,2006
7.99,Ultraint,759920,2017
7.99,Ultraint,759920,2017
7.99,Ultraint,759920,2017
7.99,Ultraint,759920,2017
10.99,TPM.CO SOFT WORKS,603280,2017
10.99,TPM.CO SOFT WORKS,603280,2017
10.99,TPM.CO SOFT WORKS,603280,2017
10.99,TPM.CO SOFT WORKS,603280,2017
9.99,Wonderbox Games,753110,2017
9.99,Wonderbox Games,753110,2017
9.99,Wonderbox Games,753110,2017
9.99,Wonderbox Games,753100,2017
9.99,Wonderbox Games,753100,2017
1.99,Mad Unicorn Games,764280,2017
1.99,Mad Unicorn Games,764280,2017
1.99,Mad Unicorn Games,764280,2017
9.99,GlyphX Games,3800,2005
9.99,Introversion Software,1520,2006
9.99,Introversion Software,1520,2006
9.99,Outerlight Ltd.,2420,2006
9.99,Outerlight Ltd.,2420,2006
9.99,Outerlight Ltd.,2420,2006
9.99,Facepunch Studios,4000,2006
9.99,Facepunch Studios,4000,2006
39.99,SimBin,4230,2006
0.0,Unknown Worlds Entertainment,4900,2006
0.0,Unknown Worlds Entertainment,4900,2006
4.99,"CINEMAX, s.r.o.",2520,2006
4.99,"CINEMAX, s.r.o.",2520,2006
4.99,Sick Puppies,6200,2003
4.99,Deepred,6210,2006
19.99,Funcom,6300,2006
19.99,Funcom,6300,2006
9.99,Bugbear Entertainment,2990,2006
7.49,Bugbear Entertainment,6220,2005
14.99,"CAPCOM Co., Ltd.",6510,2007
14.99,"CAPCOM Co., Ltd.",6510,2007
9.99,"FireFly Studios,Firaxis Games",3980,2006
4.99,Arkane Studios,1700,2002
9.99,Funcom,6310,2000
9.99,Funcom,6310,2000
9.99,Funcom,6310,2000
4.99,Firaxis Games,3990,2006
9.99,PopTop,7610,2003
9.99,"Firaxis Games,Feral Interactive (Mac)",7600,2006
4.99,PopTop,7620,1998
4.99,"MicroProse Software, Inc",7650,1995
8.99,"Crystal Dynamics,Feral Interactive (Mac)",8000,2007
8.99,"Crystal Dynamics,Feral Interactive (Mac)",8000,2007
19.99,"CAPCOM Co., Ltd.",6550,2006
19.99,Telltale Games,8200,2006
19.99,Telltale Games,8200,2006
4.99,id Software,2290,1996
19.99,Telltale Games,8210,2006
19.99,Telltale Games,8210,2006
4.99,id Software,2280,1995
14.99,id Software,9160,1995
4.99,id Software,2300,1994
4.99,id Software,2270,1994
4.99,Gray Matter Studios,9010,2001
2.99,Ritual Entertainment,9040,1997
2.99,id Software,9000,1993
9.99,Terminal Reality,3810,2003
2.99,Rogue Entertainment,9030,2007
4.99,id Software,2310,2007
4.99,Metamorf,3230,2007
12.99,Relic Entertainment,9310,2006
19.99,"2K Boston,2K Australia",7670,2007
19.99,"2K Boston,2K Australia",7670,2007
12.99,Relic Entertainment,4570,2006
