id,release_date_anio
761140,2018
761140,2018
761140,2018
761140,2018
761140,2018
643980,2018
643980,2018
643980,2018
643980,2018
670290,2017
670290,2017
670290,2017
670290,2017
670290,2017
767400,2017
767400,2017
767400,2017
772540,2018
772540,2018
772540,2018
774277,2018
774277,2018
774277,2018
774277,2018
774278,2018
774278,2018
774278,2018
774278,2018
770380,2018
770380,2018
770380,2018
770380,2018
770380,2018
768880,2018
768880,2018
765320,2018
765320,2018
765320,2018
773650,2018
773650,2018
773650,2018
773650,2018
773650,2018
774271,2018
774271,2018
774271,2018
774271,2018
773690,2018
773690,2018
773690,2018
773690,2018
773690,2018
774279,2018
774279,2018
774279,2018
774279,2018
768060,2018
768060,2018
768060,2018
775880,2017
775880,2017
775880,2017
775881,2017
775881,2017
775881,2017
653960,2018
653960,2018
282010,1997
282010,1997
282010,1997
70,1998
752360,2016
752360,2016
752360,2016
766850,2018
766850,2018
766850,2018
716110,2018
716110,2018
716110,2018
716110,2018
1640,2006
1630,2006
2400,2006
2400,2006
2400,2006
759920,2017
759920,2017
759920,2017
759920,2017
603280,2017
603280,2017
603280,2017
603280,2017
753110,2017
753110,2017
753110,2017
753100,2017
753100,2017
764280,2017
764280,2017
764280,2017
3800,2005
1520,2006
1520,2006
2420,2006
2420,2006
2420,2006
4000,2006
4000,2006
4230,2006
4900,2006
4900,2006
2520,2006
2520,2006
6200,2003
6210,2006
6300,2006
6300,2006
2990,2006
6220,2005
6510,2007
6510,2007
3980,2006
1700,2002
6310,2000
6310,2000
6310,2000
3990,2006
7610,2003
7600,2006
7620,1998
7650,1995
8000,2007
8000,2007
6550,2006
8200,2006
8200,2006
2290,1996
8210,2006
8210,2006
2280,1995
9160,1995
2300,1994
2270,1994
9010,2001
9040,1997
9000,1993
3810,2003
9030,2007
2310,2007
3230,2007
9310,2006
7670,2007
7670,2007
4570,2006
4580,2006
4760,2004
4770,2006
50970,2007
12130,2004
12160,2003
12150,2003
7000,2006
7000,2006
12140,2001
17480,2008
12500,2007
12310,2007
12310,2007
12310,2007
12510,2007
12530,2007
12530,2007
12530,2007
12520,2007
8100,2008
2780,2007
9730,2006
9710,2006
9800,2007
9800,2007
9760,2006
2700,2006
2700,2006
2710,2005
13200,2003
13250,1998
13000,2008
13000,2008
13560,2003
13520,2004
13240,2000
13540,2006
15210,2005
16180,2008
16180,2008
3520,2008
15970,2008
15950,2008
15960,2008
15900,2008
15910,2005
15930,2007
15160,2007
15920,2005
15080,2007
15080,2007
15200,2007
15320,2006
15240,2008
8310,2005
12600,2005
8320,2006
12590,2008
12560,2007
12540,2007
11050,2008
11040,2008
11040,2008
19500,2008
19500,2008
11260,2007
11260,2007
19200,2008
19200,2008
12360,2008
15710,1998
15700,1997
8660,2008
7770,2001
7660,1997
7760,1993
20510,2008
20510,2008
17330,2008
17300,2007
7730,1998
20900,2008
20900,2008
