publisher,genres,id,app_name
Ithiro Sumi,Adventure,661110,Shattered God - Quest for the Divine Relic
Kalypso Media Digital,RPG,57656,Dungeons: Map Pack DLC
Henchman &amp; Goon,Action,341760,Flem
SEGA,RPG,415710,Endless Legend™ - The Lost Tales
Noumenon Games,Racing,50000,Nimbus
Wizards of the Coast LLC,Strategy,97366,Magic 2013 “Dream Puppets” Deck Key
Ubisoft,Adventure,581400,Watch_Dogs® 2 - Fully Decked Out Bundle
THQ Nordic,Simulation,429904,MX vs. ATV Supercross Encore - 2015 Husqvarna FC 350 MX
Nicholas Mallory,Indie,380700,Zombie Killtime
Codename Entertainment Inc.,Indie,627690,Idle Champions of the Forgotten Realms
Nova D,Casual,495740,Random Journey
Anime Hearts,Adventure,516530,Chaos Of Hearts
"Oovee® Game Studios, IMGN.PRO",Adventure,263280,SPINTIRES™
Gato Salvaje S.L.,Adventure,368890,AR-K: The Great Escape
Deck13,Sports,396700,Hover Cubes: Arena
Red Team Games,Indie,360730,Cards and Castles
FireFly Studios,Strategy,901735,The Stronghold Collection
"Mighty Studios, LLC",Indie,577160,Skyling: Garden Defense
Studio Namaapa,Indie,401290,Nusakana
DigitalWorldEntertainment,Early Access,327960,Journey of the King
Carbon Incubator,Indie,612890,Link Twin
"XSEED Games, Marvelous USA, Inc.",Indie,251270,Corpse Party
mamor games,RPG,504380,Detective Hayseed - Hollywood
Bedtime Digital Games,Adventure,269330,Chronology
dark made games,Indie,416160,Heresy
Dovetail Games - Flight,Simulation,364327,FSX: Steam Edition - Junker Ju87 Stuka Add-On
Excalibur Games,Adventure,446020,Jalopy
Jonni Hirst,Strategy,575880,1979 Invasion Earth
Slav Pankratov,Indie,269530,Voice of Pripyat
Green Mesa Ltd,Adventure,716650,Yorkshire Gubbins
1C Company,Strategy,357760,Men of War: Assault Squad 2 - Airborne
SEGA,Racing,34190,Sonic & SEGA All-Stars Racing
Ubisoft,Action,324340,Far Cry® 4 Season Pass
Space Wedgie,Casual,391420,Gun Rocket
Amanita Design,Indie,421120,Samorost 3
Toco Games,Indie,262210,Last Knight: Rogue Rider Edition
Ghostlight LTD,RPG,403453,Mugen Souls - Points Fever Bundle 2
Bretwalda Games,Strategy,290870,Steam Squad
Zenrok Studios,Early Access,434300,Wormhole City
ShenZheng,Casual,683960,Tower And Guardian 塔与守护者
Agent Mega,Indie,513580,Miaou Moon
argagonky,Adventure,539980,Space Cat
Gaijin Entertainment,Massively Multiplayer,222285,Star Conflict: Pirate Pack - Dead Man's Chest
Gestalt Development Studio,Sports,512160,Volleying
GamersHype Productions,Indie,543310,Box Maze - Halloween Skins Pack
Gugila,Action,308080,Altitude0: Lower & Faster
KISS ltd,Adventure,543810,Pixel Puzzles Ultimate - Puzzle Pack: Aki
Forever Entertainment S. A.,Action,248710,Iesabel
The Digital Lounge,Action,233550,Another World – 20th Anniversary Edition
Overhype Studios,RPG,365360,Battle Brothers
Alientrap,Casual,389220,Maximum Override
Winking Entertainment,Massively Multiplayer,614860,XAOC
Praxia Entertainment,Strategy,479020,Pirates of the Polygon Sea
Warfare Studios,RPG,602790,Fated Souls 3
L. Stotch,Free to Play,547562,Bloody Walls: Hardcore x2 Extended version
Degica,Design &amp; Illustration,262490,Manga Maker Comipo
GSProductions Ltd.,Strategy,570920,RPG Tycoon: Festive Fun
Ogulcan Karaoglu,Action,576480,Drunken Fight Simulator
Lokator Studio,Adventure,710580,Kitten adventures in city park - Bonus Content
SHOKIZM INTERACTIVE,Casual,745420,Tronix Defender
Vision Riders Entertainment,Indie,358030,Another Star
Completely Fair Games LLC,Indie,252390,DwarfCorp
TeamWaterFly,Indie,442000,Alone K.W.
Lite Microsystems,Action,646460,CompliKATed
Treetop Crew,Indie,521000,Globe Rush
Tiny Pixel,Action,619470,Boss Defiance
Dialogue Design,Action,523030,Tank Universal 2
Panoramik Inc,Action,645430,Mighty Party: Wonder Girls Pack
Paradox Interactive,Simulation,48802,Ship Simulator Extremes: Sigita Pack
Niels Bauer Games,Simulation,384840,Dead But Alive! Southern England
N94Games,Action,315940,Top Hat
Dagestan Technology,Indie,501900,Star Project
Narrow Monolith,Strategy,348980,INIT.
Ubisoft,Adventure,596190,Tom Clancy's The Division™ - Last Stand
Nexon America Inc.,Massively Multiplayer,212200,Mabinogi
3 Sprockets,Action,593070,Digby Extreme
Druid Gameworks Studio LLC,Adventure,554570,Witanlore: Dreamtime
Stoic Studio,Free to Play,234022,The Banner Saga: Factions - Pillage! Pack
Openland Design,Early Access,534740,Icity - a Flight Sim ... and a City Builder
BetaDwarf,Strategy,502830,FORCED SHOWDOWN - Supreme Skin Pack
Genetix Studio,Early Access,409490,Rogue Harvest
Wastelands Interactive,Strategy,318440,Cubesis
Marjupi Games,Casual,598350,Alien Insanity
"onomatope*, MiKandi Japan",Casual,604170,Libra of the Vampire Princess
Windybeard,Indie,645920,Dreamstones
