id,genres,playtime_forever
282010,Action,9319.0
70,Action,2682852.0
1640,Strategy,27397.0
1630,Strategy,21111.0
2400,Action,1048156.0
3800,Action,13691.0
1520,Indie,221438.0
2420,Action,194048.0
4000,Indie,448366616.0
4230,Racing,80951.0
4900,Casual,154.0
2520,Casual,1339.0
6200,Strategy,43255.0
6210,Strategy,8226.0
6300,Adventure,21296.0
2990,Racing,269881.0
6220,Racing,42577.0
6510,Action,43655.0
3980,Strategy,12286.0
1700,RPG,19254.0
6310,Action,52528.0
3990,Strategy,139346.0
7610,Strategy,15397.0
7600,Strategy,216479.0
7620,Strategy,823.0
7650,Strategy,49839.0
8000,Action,102745.0
6550,Action,67480.0
8200,Action,49151.0
2290,Action,15646.0
8210,Action,31288.0
2280,Action,78153.0
9160,Action,8080.0
2300,Action,66762.0
2270,Action,32636.0
9010,Action,103106.0
9040,Action,9449.0
9000,Action,3329.0
3810,Action,16613.0
9030,Action,8996.0
2310,Action,93387.0
3230,Strategy,4292.0
9310,Strategy,295751.0
7670,Action,2710399.0
4570,Strategy,744402.0
4580,Strategy,1881366.0
4760,Strategy,3019744.0
4770,Strategy,90058.0
50970,Casual,31.0
12130,Action,8101.0
12160,Racing,30635.0
12150,Action,199683.0
7000,Action,70912.0
12140,Action,284475.0
17480,Strategy,1563982.0
12500,Casual,128296.0
12310,RPG,207.0
12510,Strategy,37069.0
12530,Action,3864.0
12520,Racing,24737.0
8100,Action,4343.0
2780,Action,18714.0
9730,Simulation,1432.0
9710,Action,1820.0
9800,Action,15387.0
9760,Action,11466.0
2700,Simulation,942672.0
2710,Action,10225.0
13200,Action,24757.0
13250,Action,24185.0
13000,Casual,2236.0
13560,Action,79588.0
13520,Action,327093.0
13240,Action,205759.0
13540,Action,22539.0
15210,Simulation,80464.0
16180,Casual,10963.0
3520,Casual,2273.0
15970,Casual,4197.0
15950,Casual,3050.0
15960,Casual,5004.0
15900,Casual,389.0
15910,Casual,793.0
15930,Casual,3892.0
15160,Simulation,61001.0
15920,Casual,5574.0
15080,Action,3728.0
15200,Simulation,39164.0
15320,Simulation,203132.0
15240,Simulation,14365.0
8310,Adventure,1462.0
12600,Racing,533.0
8320,Adventure,624.0
12590,Racing,7472.0
12560,Simulation,1053.0
12540,Casual,508.0
11050,Adventure,3609.0
11040,Adventure,7558.0
19500,Adventure,1552.0
11260,Simulation,16490.0
19200,Action,8740.0
12360,Racing,161822.0
15710,Adventure,154058.0
15700,Adventure,268935.0
8660,Racing,976.0
7770,Strategy,7416.0
7660,Strategy,69682.0
7760,Strategy,187144.0
20510,Action,515443.0
17330,Action,183679.0
17300,Action,934633.0
7730,Strategy,8847.0
20900,Action,2491856.0
1530,Indie,48400.0
8690,Racing,73921.0
17120,Strategy,19447.0
16810,Strategy,122422.0
19830,Action,51988.0
21000,Action,170010.0
4460,Simulation,5344.0
17140,RPG,16132.0
15390,Action,73325.0
21300,Indie,714.0
3050,Racing,1341.0
15380,Strategy,20611.0
19800,Action,33017.0
15370,Strategy,142140.0
19930,Strategy,58535.0
15350,Casual,0.0
19810,Action,17.0
3540,Casual,168116.0
22000,Indie,258264.0
2820,Action,688392.0
1230,Action,17401.0
18300,Casual,23162.0
20200,Indie,692.0
12200,Action,1415995.0
19900,Action,1194748.0
11240,Action,16469.0
9480,Action,3272282.0
17470,Action,944423.0
12770,RPG,15123.0
17410,Action,2884325.0
18500,Indie,1242313.0
16450,Action,528054.0
15400,Strategy,12399.0
18600,Indie,21485.0
11340,Action,9719.0
25830,Strategy,53954.0
23460,Action,5627.0
21010,Action,7717.0
22180,Action,94492.0
13210,Action,662714.0
12640,RPG,11138.0
27020,Indie,1748.0
24740,Racing,2143124.0
26000,Action,24374.0
11330,Casual,13461.0
27800,Indie,340.0
9850,Simulation,6806.0
3600,Casual,13931.0
23700,Casual,30541.0
16060,Casual,27.0
1930,RPG,162866.0
18470,Strategy,2227.0
7510,Action,88676.0
22200,Action,131103.0
25900,RPG,247515.0
16200,Casual,4104.0
7840,Racing,2761.0
8890,RPG,13619.0
8880,RPG,34129.0
34500,Indie,4790.0
1280,Action,261666.0
10150,Action,751999.0
29160,Adventure,1997.0
12470,Strategy,37305.0
22330,RPG,5216628.0
22320,RPG,1599198.0
12440,Adventure,1864.0
32710,Simulation,26.0
32740,Simulation,136.0
12460,Strategy,8930.0
21980,Action,114349.0
31860,Adventure,1735.0
31900,Adventure,850.0
31920,Adventure,2564.0
31930,Adventure,2211.0
35800,Casual,74722.0
12690,Simulation,5431.0
31170,Adventure,48310.0
21660,Action,366187.0
6080,Action,22848.0
6010,Adventure,17047.0
6090,Action,646.0
6060,Action,5318132.0
32310,Adventure,3600.0
32330,Action,31152.0
32360,Adventure,128844.0
35300,Strategy,485.0
35310,Action,2272.0
31980,Adventure,1173.0
10140,Sports,9212.0
10100,Adventure,1250.0
10130,Action,38122.0
10110,Adventure,3689.0
10120,Action,847.0
33520,Simulation,20019.0
3610,Casual,1722.0
21680,Action,15393.0
21670,Action,23309.0
21030,Action,3138.0
36000,Action,26158.0
32370,Adventure,2912916.0
29180,Indie,77230.0
38410,RPG,382964.0
38420,Strategy,87675.0
38430,Action,9524.0
31180,Adventure,30479.0
37960,Casual,11166.0
38000,Casual,809.0
37400,Adventure,12956.0
13570,Action,133594.0
11390,Action,46249.0
34420,Strategy,1617.0
43100,Simulation,23535.0
33730,Simulation,19205.0
35000,Action,76434.0
37600,Adventure,9605.0
32140,Adventure,1634.0
31190,Adventure,25820.0
32770,Action,1196.0
37300,Simulation,373.0
40300,RPG,203689.0
35070,Casual,2932.0
40700,Adventure,148539.0
24840,Action,163913.0
24870,Racing,199359.0
